mnemonic,All usual residents aged 16+,Married,In a registered same-sex civil partnership
E12000001,100.0,45.6,0.2
E12000002,100.0,44.8,0.2
E12000003,100.0,46.8,0.2
E12000004,100.0,48.5,0.2
E12000005,100.0,47.5,0.2
E12000006,100.0,49.9,0.2
E12000007,100.0,39.8,0.4
E12000008,100.0,49.3,0.2
E12000009,100.0,49.0,0.2
W92000004,100.0,46.6,0.2
S92000003,100.0,45.2,0.2
N92000002,100.0,47.6,0.1
S12000005,100.0,48.3,0.1
S12000006,100.0,51.3,0.2
S12000008,100.0,47.4,0.1
S12000010,100.0,50.4,0.2
S12000011,100.0,54.9,0.1
S12000013,100.0,48.9,0.1
S12000014,100.0,49.3,0.1
S12000015,100.0,48.0,0.2
S12000017,100.0,49.6,0.1
S12000018,100.0,42.7,0.1
S12000019,100.0,50.4,0.1
S12000020,100.0,51.6,0.1
S12000021,100.0,46.4,0.2
S12000023,100.0,51.2,0.1
S12000024,100.0,51.1,0.1
S12000026,100.0,52.2,0.2
S12000027,100.0,49.5,0.1
S12000028,100.0,49.8,0.1
S12000029,100.0,48.1,0.1
S12000030,100.0,47.8,0.1
S12000033,100.0,40.5,0.1
S12000034,100.0,55.9,0.1
S12000035,100.0,49.9,0.2
S12000036,100.0,38.1,0.3
S12000038,100.0,44.1,0.1
S12000039,100.0,40.9,0.1
S12000040,100.0,48.7,0.2
S12000041,100.0,51.3,0.1
S12000042,100.0,36.1,0.1
S12000044,100.0,45.2,0.1
S12000045,100.0,55.0,0.1
S12000046,100.0,30.8,0.2
E06000005,100.0,46.8,0.2
E06000047,100.0,47.2,0.2
E06000001,100.0,44.7,0.2
E06000002,100.0,41.4,0.1
E06000057,100.0,52.1,0.2
E06000003,100.0,47.5,0.1
E06000004,100.0,47.5,0.2
E08000037,100.0,44.4,0.3
E08000021,100.0,36.2,0.2
E08000022,100.0,46.5,0.2
E08000023,100.0,43.8,0.1
E08000024,100.0,45.1,0.1
E06000008,100.0,47.6,0.2
E06000009,100.0,39.0,0.5
E06000049,100.0,52.1,0.2
E06000050,100.0,49.9,0.2
E06000006,100.0,44.9,0.2
E06000007,100.0,49.7,0.1
E07000026,100.0,52.0,0.2
E07000027,100.0,46.8,0.1
E07000028,100.0,47.3,0.2
E07000029,100.0,51.0,0.2
E07000030,100.0,54.4,0.2
E07000031,100.0,53.9,0.2
E08000001,100.0,46.5,0.2
E08000002,100.0,47.4,0.2
E08000003,100.0,29.4,0.3
E08000004,100.0,46.6,0.1
E08000005,100.0,44.2,0.2
E08000006,100.0,37.0,0.3
E08000007,100.0,48.3,0.2
E08000008,100.0,43.5,0.2
E08000009,100.0,48.6,0.2
E08000010,100.0,47.4,0.2
E07000117,100.0,44.8,0.1
E07000118,100.0,50.3,0.2
E07000119,100.0,50.9,0.2
E07000120,100.0,45.7,0.1
E07000121,100.0,43.2,0.3
E07000122,100.0,48.1,0.1
E07000123,100.0,41.3,0.2
E07000124,100.0,54.6,0.1
E07000125,100.0,46.6,0.2
E07000126,100.0,51.4,0.2
E07000127,100.0,50.1,0.1
E07000128,100.0,51.9,0.3
E08000011,100.0,40.1,0.1
E08000012,100.0,32.3,0.2
E08000014,100.0,46.0,0.2
E08000013,100.0,47.2,0.2
E08000015,100.0,44.6,0.2
E06000011,100.0,54.2,0.2
E06000010,100.0,37.5,0.2
E06000012,100.0,45.2,0.1
E06000013,100.0,50.3,0.2
E06000014,100.0,44.0,0.3
E07000163,100.0,54.2,0.2
E07000164,100.0,56.4,0.1
E07000165,100.0,53.5,0.2
E07000166,100.0,53.3,0.3
E07000167,100.0,55.0,0.1
E07000168,100.0,48.7,0.2
E07000169,100.0,55.3,0.2
E08000016,100.0,47.7,0.2
E08000017,100.0,46.9,0.2
E08000018,100.0,49.7,0.1
E08000019,100.0,41.7,0.2
E08000032,100.0,48.3,0.2
E08000033,100.0,46.7,0.3
E08000034,100.0,48.4,0.2
E08000035,100.0,41.5,0.2
E08000036,100.0,48.2,0.2
E06000015,100.0,44.7,0.2
E06000016,100.0,42.4,0.2
E06000018,100.0,31.6,0.2
E06000017,100.0,54.2,0.2
E07000032,100.0,50.7,0.3
E07000033,100.0,48.9,0.3
E07000034,100.0,46.9,0.2
E07000035,100.0,54.8,0.3
E07000036,100.0,48.4,0.1
E07000037,100.0,49.1,0.2
E07000038,100.0,53.3,0.3
E07000039,100.0,52.7,0.2
E07000129,100.0,53.2,0.2
E07000130,100.0,46.9,0.2
E07000131,100.0,56.2,0.2
E07000132,100.0,52.9,0.2
E07000133,100.0,53.4,0.2
E07000134,100.0,52.4,0.2
E07000135,100.0,51.7,0.1
E07000136,100.0,49.3,0.2
E07000137,100.0,53.6,0.2
E07000138,100.0,36.4,0.2
E07000139,100.0,56.6,0.2
E07000140,100.0,53.3,0.2
E07000141,100.0,53.6,0.1
E07000142,100.0,54.9,0.1
E07000150,100.0,44.2,0.2
E07000151,100.0,54.2,0.2
E07000152,100.0,53.0,0.2
E07000153,100.0,50.1,0.2
E07000154,100.0,43.6,0.2
E07000155,100.0,58.0,0.2
E07000156,100.0,49.2,0.2
E07000170,100.0,48.3,0.2
E07000171,100.0,50.8,0.2
E07000172,100.0,50.2,0.2
E07000173,100.0,49.5,0.2
E07000174,100.0,47.6,0.2
E07000175,100.0,51.5,0.2
E07000176,100.0,53.6,0.2
